,Country,"Population, total (millions)",Education Index,Human development index (HDI),Life expectancy at birth,"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Population, under age 5 (millions)","Population, urban (%)","Unemployment, total (% of labour force)",Gross domestic product (GDP) per capita (2011 PPP $),Mobile phone subscriptions (per 100 people)
106,Mali,19.1,0.290,0.427,58.9,0.49738219895287955,0.026178010471204185,0.18324607329842932,42.4,9.6,2056,115.1
107,Malta,0.4,0.818,0.885,82.4,0.7499999999999999,0.25,0.0,94.6,4.6,38147,140.2
108,Marshall Islands,0.1,0.707,0.698,73.9,,,,77.0,,3599,
109,Mauritania,4.4,0.389,0.527,64.7,0.5681818181818181,0.022727272727272728,0.15909090909090906,53.7,10.3,3724,103.7
110,Mauritius,1.3,0.730,0.796,74.9,0.6923076923076923,0.07692307692307693,0.07692307692307693,40.8,6.9,21075,151.4
111,Mexico,126.2,0.684,0.767,75.0,0.6624405705229793,0.07210776545166402,0.08795562599049128,80.2,3.3,18102,93
112,Micronesia (Federated States of),0.1,0.578,0.614,67.8,1.0,0.0,0.0,22.7,,3196,
113,Moldova (Republic of),4.1,0.708,0.711,71.8,0.7073170731707318,0.12195121951219513,0.04878048780487806,42.6,3.4,6490,88
114,Mongolia,3.2,0.734,0.735,69.7,0.65625,0.03125,0.125,68.4,6.3,12209,133.2
115,Montenegro,0.6,0.797,0.816,76.8,0.6666666666666667,0.16666666666666669,0.0,66.8,15.5,17278,180.7
116,Morocco,36.0,0.547,0.676,76.5,0.6583333333333333,0.06944444444444445,0.09444444444444444,62.5,9.0,7509,124.2
117,Mozambique,29.5,0.389,0.446,60.2,0.5254237288135594,0.030508474576271188,0.16610169491525426,36.0,3.2,1180,47.7
118,Myanmar,53.7,0.452,0.584,66.9,0.6778398510242085,0.05772811918063315,0.08379888268156424,30.6,1.6,5922,113.8
119,Namibia,2.4,0.582,0.645,63.4,0.625,0.04166666666666667,0.125,50.0,23.1,9898,112.7
120,Nepal,28.1,0.501,0.579,70.5,0.6370106761565836,0.05693950177935943,0.09608540925266904,19.7,1.3,2724,139.4
121,Netherlands,17.1,0.906,0.934,82.1,0.6432748538011696,0.19298245614035084,0.05263157894736842,91.5,3.9,49804,
122,New Zealand,4.7,0.923,0.921,82.1,0.6595744680851063,0.14893617021276595,0.06382978723404255,86.5,4.5,36355,134.9
123,Nicaragua,6.5,0.566,0.651,74.3,0.6461538461538462,0.04615384615384615,0.10769230769230768,58.5,4.5,4910,115.1
124,Niger,22.4,0.247,0.377,62.0,0.47321428571428575,0.026785714285714288,0.20089285714285715,16.4,0.3,932,
125,Nigeria,195.9,0.486,0.534,54.3,0.5339458907605921,0.02756508422664625,0.16794282797345583,50.3,6.0,5316,88.2
126,North Macedonia,2.1,0.697,0.759,75.7,0.7142857142857143,0.14285714285714285,0.047619047619047616,58.0,21.6,13483,98.5
127,Norway,5.3,0.919,0.954,82.3,0.6603773584905661,0.169811320754717,0.05660377358490566,82.2,3.9,65441,107.2
128,Oman,4.8,0.732,0.834,77.6,0.75,0.020833333333333336,0.08333333333333334,84.5,3.1,36831,133.4
129,Pakistan,212.2,0.407,0.560,67.1,0.6041470311027333,0.043355325164938736,0.1286522148916117,36.7,3.0,4928,72.6
130,Palau,0.0,0.845,0.814,73.7,,,,79.9,,17202,
131,"Palestine, State of",4.9,0.660,0.690,73.9,0.5714285714285714,0.04081632653061224,0.14285714285714285,76.2,30.2,4576,89.5
132,Panama,4.2,0.697,0.795,78.3,0.6428571428571429,0.07142857142857142,0.09523809523809523,67.7,3.9,22674,130.1
133,Papua New Guinea,8.6,0.432,0.543,64.3,0.6046511627906977,0.03488372093023256,0.12790697674418605,13.2,2.4,3821,
134,Paraguay,7.0,0.634,0.724,74.1,0.6428571428571429,0.05714285714285715,0.09999999999999999,61.6,4.7,12063,107
135,Peru,32.0,0.692,0.759,76.5,0.6625,0.08125,0.0875,77.9,2.8,12794,
